,set,artist,artist,track,track,track,track,track,track
,split,id,favorites,date_created,genre_top,genres,favorites,interest,listens
track_id,,,,,,,,,
2,training,1,9,2008-11-26 01:48:12,Hip-Hop,[21],2,4656,1293
5,training,1,9,2008-11-26 01:48:20,Hip-Hop,[21],6,1933,1151
10,training,6,74,2008-11-25 17:49:06,Pop,[10],178,54881,50135
140,training,54,11,2008-11-26 01:44:07,Folk,[17],5,1593,1299
141,training,54,11,2008-11-26 01:44:10,Folk,[17],1,839,725
148,validation,57,0,2008-11-26 01:44:28,Experimental,[1],1,2437,1831
182,test,64,76,2008-11-26 01:46:34,Rock,[27],19,5990,5547
190,training,127,7,2008-11-26 01:46:54,Folk,[17],1,1758,945
193,training,127,7,2008-11-26 01:47:02,Folk,[17],0,1679,824
194,training,127,7,2008-11-26 01:47:05,Folk,[17],1,1780,754
197,training,127,7,2008-11-26 01:47:15,Folk,[17],1,2286,833
200,training,127,7,2008-11-26 01:47:25,Folk,[17],1,1945,772
203,training,127,7,2008-11-26 01:47:34,Folk,[17],2,1737,603
204,training,127,7,2008-11-26 01:47:37,Folk,[17],0,1954,688
207,training,127,7,2008-11-26 01:47:47,Folk,[17],0,2811,609
210,training,127,7,2008-11-26 01:47:58,Folk,[17],1,3706,1824
211,training,127,7,2008-11-26 01:48:00,Folk,[17],3,16106,1714
212,training,127,7,2008-11-26 01:48:07,Folk,[17],2,2299,551
213,training,66,11,2008-11-26 01:48:12,Pop,[10],10,2828,1148
255,training,80,27,2008-11-26 01:50:38,Rock,[12],24,5585,4495
256,training,81,3,2008-11-26 01:50:40,Rock,[31],3,2864,2311
368,training,84,20,2008-11-26 01:55:14,Rock,[89],1,3572,2281
424,training,91,14,2008-11-26 01:59:31,Experimental,[1],3,4323,3562
459,validation,95,40,2008-11-25 22:01:08,Rock,[36],45,11132,7765
534,training,101,9,2008-11-26 02:03:52,Folk,[17],3,1875,614
540,training,101,9,2008-11-26 02:04:03,Folk,[17],3,1757,835
546,training,101,9,2008-11-26 02:04:18,Folk,[17],1,1826,741
574,training,106,11,2008-11-26 02:05:38,Rock,[25],11,3169,2617
602,validation,122,1,2008-11-26 02:07:10,Folk,[17],0,1262,660
615,training,126,0,2008-11-26 02:07:36,Experimental,[41],0,2016,1019
620,training,127,7,2008-11-26 02:07:58,Folk,[17],1,1853,922
621,training,127,7,2008-11-26 02:08:00,Folk,[17],0,1252,678
625,training,127,7,2008-11-26 02:08:17,Folk,[17],3,1625,655
666,training,135,15,2008-11-26 02:11:23,International,[79],13,2614,1902
667,training,135,15,2008-11-26 02:11:27,International,[79],15,2723,2005
676,training,136,3,2008-11-26 02:11:57,Hip-Hop,[21],0,1747,1225
690,validation,137,18,2008-11-26 02:12:46,Rock,[12],5,8125,5724
694,training,138,13,2008-11-25 21:13:08,Hip-Hop,[21],17,7007,7883
695,training,138,13,2008-11-26 02:13:10,Hip-Hop,[21],10,3590,2826
704,test,140,4,2008-11-26 02:13:29,International,[46],5,2181,2105
705,test,140,4,2008-11-26 02:13:33,International,[46],7,3240,2545
706,test,140,4,2008-11-26 02:13:37,International,[46],3,2699,1948
707,test,140,4,2008-11-26 02:13:41,International,[46],3,2170,1922
708,test,140,4,2008-11-26 02:13:45,International,[46],33,4581,5007
709,test,140,4,2008-11-26 02:13:48,International,[46],9,4897,3812
714,training,143,23,2008-11-26 02:13:59,Folk,[17],4,1229,646
715,training,143,23,2008-11-26 02:14:03,Folk,[17],10,1526,928
716,training,143,23,2008-11-26 02:14:07,Folk,[17],5,1784,1252
718,training,143,23,2008-11-26 02:14:14,Folk,[17],8,4152,3061
777,training,149,6,2008-11-26 02:18:08,Rock,[12],0,4235,3247
814,training,153,8,2008-11-26 02:19:37,Folk,[17],2,1519,1284
821,training,155,2,2008-11-26 02:19:52,Pop,[10],0,1437,438
822,training,155,2,2008-11-26 02:19:56,Pop,[10],0,1430,660
825,training,156,6,2008-11-26 02:20:26,Rock,"[12, 45, 58, 66]",2,2780,2262
853,training,162,0,2008-11-26 02:22:12,International,[2],2,3512,2374
890,test,168,14,2008-11-26 02:24:13,Folk,[49],2,2341,1966
892,test,168,14,2008-11-26 02:24:22,Folk,[49],7,1579,907
897,training,170,1,2008-11-26 02:24:42,Experimental,[32],0,2032,1708
993,validation,175,1,2008-11-26 02:27:59,Rock,[12],7,3913,3402
995,training,177,12,2008-11-26 02:28:04,Experimental,[32],2,3325,2753
997,training,177,12,2008-11-26 02:28:14,Experimental,[32],2,1930,1310
998,training,177,12,2008-11-26 02:28:22,Experimental,[32],3,1397,844
1039,training,190,64,2008-11-26 02:31:33,Rock,[53],11,4040,3030
1040,training,190,64,2008-11-26 02:31:35,Rock,[53],8,8613,2166
1066,test,10,111,2008-11-26 02:33:02,Experimental,[22],6,11676,10700
1069,test,10,111,2008-11-26 02:33:08,Experimental,[22],6,7038,5661
1073,test,10,111,2008-11-26 02:33:15,Experimental,[22],2,5179,3982
1075,test,10,111,2008-11-26 02:33:18,Experimental,[22],2,5620,4628
1082,training,199,0,2008-11-26 02:33:33,International,[2],13,4435,3761
1083,training,200,15,2008-11-26 02:33:37,Experimental,[1],8,2587,1278
1087,validation,201,12,2008-11-26 02:33:48,Rock,[12],27,10309,11275
1102,training,203,4,2008-11-26 02:34:56,Rock,[12],16,3460,2998
