,track_id,set_split,artist_id,artist_name,artist_favorites,track_title,track_date,track_genre_top,track_genres,track_favorites,track_interest,track_listens
0,2,training,1,AWOL,9,Food,2008-11-26 01:48:12,Hip-Hop,[21],2,4656,1293
1,5,training,1,AWOL,9,This World,2008-11-26 01:48:20,Hip-Hop,[21],6,1933,1151
2,10,training,6,Kurt Vile,74,Freeway,2008-11-25 17:49:06,Pop,[10],178,54881,50135
3,140,training,54,Alec K. Redfearn & the Eyesores,11,Queen Of The Wires,2008-11-26 01:44:07,Folk,[17],5,1593,1299
4,141,training,54,Alec K. Redfearn & the Eyesores,11,Ohio,2008-11-26 01:44:10,Folk,[17],1,839,725
5,190,training,127,Ed Askew,7,Castle Of Stars,2008-11-26 01:46:54,Folk,[17],1,1758,945
6,193,training,127,Ed Askew,7,Here With You,2008-11-26 01:47:02,Folk,[17],0,1679,824
7,194,training,127,Ed Askew,7,All I want to Do,2008-11-26 01:47:05,Folk,[17],1,1780,754
8,197,training,127,Ed Askew,7,Piano 2,2008-11-26 01:47:15,Folk,[17],1,2286,833
9,200,training,127,Ed Askew,7,Baby Come Home,2008-11-26 01:47:25,Folk,[17],1,1945,772
10,203,training,127,Ed Askew,7,Song For R,2008-11-26 01:47:34,Folk,[17],2,1737,603
11,204,training,127,Ed Askew,7,My Dream,2008-11-26 01:47:37,Folk,[17],0,1954,688
12,207,training,127,Ed Askew,7,Piano 3,2008-11-26 01:47:47,Folk,[17],0,2811,609
13,210,training,127,Ed Askew,7,In the French Court,2008-11-26 01:47:58,Folk,[17],1,3706,1824
14,211,training,127,Ed Askew,7,In America,2008-11-26 01:48:00,Folk,[17],3,16106,1714
15,212,training,127,Ed Askew,7,When I Arive,2008-11-26 01:48:07,Folk,[17],2,2299,551
16,213,training,66,Au,11,Boute,2008-11-26 01:48:12,Pop,[10],10,2828,1148
17,255,training,80,Bird Names,27,We Want to be Old,2008-11-26 01:50:38,Rock,[12],24,5585,4495
18,256,training,81,Black Elk,3,Toggle,2008-11-26 01:50:40,Rock,[31],3,2864,2311
19,368,training,84,Blah Blah Blah,20,Vampires,2008-11-26 01:55:14,Rock,[89],1,3572,2281
20,424,training,91,Brian Joseph Davis,14,The Ambient Honky,2008-11-26 01:59:31,Experimental,[1],3,4323,3562
21,534,training,101,Charles Manson,9,I Can See You,2008-11-26 02:03:52,Folk,[17],3,1875,614
22,540,training,101,Charles Manson,9,The Black Pirate,2008-11-26 02:04:03,Folk,[17],3,1757,835
23,546,training,101,Charles Manson,9,If You Have No One,2008-11-26 02:04:18,Folk,[17],1,1826,741
24,574,training,106,Clockcleaner,11,Caliente Queen,2008-11-26 02:05:38,Rock,[25],11,3169,2617
25,615,training,126,EKG,0,"Immaterial, side A",2008-11-26 02:07:36,Experimental,[41],0,2016,1019
26,620,training,127,Ed Askew,7,Arabesque,2008-11-26 02:07:58,Folk,[17],1,1853,922
27,621,training,127,Ed Askew,7,Blue Eyed Baby,2008-11-26 02:08:00,Folk,[17],0,1252,678
28,625,training,127,Ed Askew,7,Climbing To The Top,2008-11-26 02:08:17,Folk,[17],3,1625,655
29,666,training,135,Explode Into Colors,15,Heat,2008-11-26 02:11:23,International,[79],13,2614,1902
30,667,training,135,Explode Into Colors,15,Sharpen The Knife,2008-11-26 02:11:27,International,[79],15,2723,2005
31,676,training,136,Fanatic,3,The Tension,2008-11-26 02:11:57,Hip-Hop,[21],0,1747,1225
32,694,training,138,Food For Animals,13,Planet Say (featuring Faust),2008-11-25 21:13:08,Hip-Hop,[21],17,7007,7883
33,695,training,138,Food For Animals,13,Elephants,2008-11-26 02:13:10,Hip-Hop,[21],10,3590,2826
34,714,training,143,Fursaxa,23,Circle Moon,2008-11-26 02:13:59,Folk,[17],4,1229,646
35,715,training,143,Fursaxa,23,Kokopelli,2008-11-26 02:14:03,Folk,[17],10,1526,928
36,716,training,143,Fursaxa,23,Saxalainen,2008-11-26 02:14:07,Folk,[17],5,1784,1252
37,718,training,143,Fursaxa,23,Song Of The Spindle Berry,2008-11-26 02:14:14,Folk,[17],8,4152,3061
38,777,training,149,Glove Compartment,6,Relaxing,2008-11-26 02:18:08,Rock,[12],0,4235,3247
39,814,training,153,Hall Of Fame,8,Motion Passings,2008-11-26 02:19:37,Folk,[17],2,1519,1284
40,821,training,155,Hecuba,2,Sir,2008-11-26 02:19:52,Pop,[10],0,1437,438
41,822,training,155,Hecuba,2,Tom & Jerry,2008-11-26 02:19:56,Pop,[10],0,1430,660
42,825,training,156,Here Comes A Big Black Cloud!!,6,Death March,2008-11-26 02:20:26,Rock,"[12, 45, 58, 66]",2,2780,2262
43,853,training,162,Hutzl Ukranian Ensemble,0,Welsinsni Melodyi,2008-11-26 02:22:12,International,[2],2,3512,2374
44,897,training,170,Infinite Body,1,02,2008-11-26 02:24:42,Experimental,[32],0,2032,1708
45,995,training,177,Kevin Shields,12,No Good Deed Goes Unpunished,2008-11-26 02:28:04,Experimental,[32],2,3325,2753
46,997,training,177,Kevin Shields,12,Nothing's Ever Ending,2008-11-26 02:28:14,Experimental,[32],2,1930,1310
47,998,training,177,Kevin Shields,12,Apparently,2008-11-26 02:28:22,Experimental,[32],3,1397,844
48,1039,training,190,Lightning Bolt,64,13 Monsters,2008-11-26 02:31:33,Rock,[53],11,4040,3030
49,1040,training,190,Lightning Bolt,64,Dracula Mountain,2008-11-26 02:31:35,Rock,[53],8,8613,2166
50,1082,training,199,M. Nguyen Van Minh-Con,0,Nam Nhi-tu,2008-11-26 02:33:33,International,[2],13,4435,3761
51,1083,training,200,Magic Lantern,15,Feasting on Energy,2008-11-26 02:33:37,Experimental,[1],8,2587,1278
52,1102,training,203,Mary Halvorson and Weasel Walter,4,Rare Vodka from the Fourteenth Century,2008-11-26 02:34:56,Rock,[12],16,3460,2998
53,1193,training,215,Mount Eerie,19,Wooly Mammoth's Absence,2008-11-26 02:40:48,Folk,[17],9,1730,1522
54,1195,training,215,Mount Eerie,19,With My Hands Out,2008-11-26 02:40:52,Folk,[17],3,1211,1038
55,1196,training,215,Mount Eerie,19,2 Blonde Braids,2008-11-26 02:40:56,Folk,[17],2,929,777
56,1197,training,215,Mount Eerie,19,My Burning,2008-11-26 02:41:00,Folk,[17],2,1024,868
57,1270,training,221,Necropolis,2,Cocksuckerbastardmotherfucker,2008-11-26 02:47:19,Rock,[25],0,3990,3300
58,1276,training,222,Negativland,25,Richard Nixon Died Today,2008-11-26 02:47:30,Experimental,[22],3,2335,2038
59,1277,training,222,Negativland,25,No Business,2008-11-26 02:47:33,Experimental,[22],2,2980,1892
60,1278,training,222,Negativland,25,Downloading,2008-11-25 22:47:38,Experimental,[22],5,3728,2556
61,1417,training,239,Pierced Arrows,27,Guns of Thunder,2008-11-26 02:55:45,Rock,[12],14,7349,6911
62,1427,training,240,Plastic Crimewave Sound,15,I Feel Evils,2008-11-26 02:56:29,Rock,[12],12,3016,2548
63,1443,training,242,Pocahaunted,33,Time Fist,2008-11-26 02:58:24,Experimental,[47],9,2085,1336
64,1482,training,249,Rainbro,0,Reindeer Dance,2008-11-26 03:00:45,Electronic,[15],7,93276,77299
65,1510,training,253,Ric Royer &amp; G. Lucas Crane,0,Zombie,2008-11-26 03:02:08,Experimental,[32],2,2199,1768
66,1544,training,259,Samara Lubelski,22,Song of The Stations,2008-11-26 03:04:06,Folk,[33],8,3937,2537
67,1642,training,269,So Cow,35,Hrz,2008-11-26 02:59:54,Pop,[10],0,2458,277
68,1644,training,269,So Cow,35,Outskirts,2008-11-26 02:59:59,Pop,[10],1,1476,579
69,1649,training,269,So Cow,35,Inis Meain,2008-11-26 03:00:16,Pop,[10],0,1280,673
70,1661,training,269,So Cow,35,Only Fools and Horses Theme,2008-11-26 03:00:42,Pop,[10],0,1770,693
71,1663,training,271,Softboiled Eggies,3,So High,2008-11-26 03:00:46,Pop,[10],1,1363,960
72,1666,training,271,Softboiled Eggies,3,She Fell Through the Trees,2008-11-26 03:00:53,Pop,[10],2,1153,568
73,1673,training,272,Solemn Man,0,Track 07,2008-11-26 03:01:16,Experimental,[30],0,5929,512
74,1680,training,1259,The Sounds of Taraab,12,Bashraf Salama,2008-11-26 03:01:37,International,[2],0,2168,1240
75,1681,training,1259,The Sounds of Taraab,12,Daka Kozi Manowe,2008-11-26 03:01:42,International,[2],1,1715,703
76,1682,training,1259,The Sounds of Taraab,12,Nie Zama Nie Sema,2008-11-26 03:01:45,International,[2],5,2850,1668
77,1683,training,1259,The Sounds of Taraab,12,Mapenzi Matamu,2008-11-26 03:01:50,International,[2],0,1346,518
78,1684,training,1259,The Sounds of Taraab,12,Mahaba Wa Taka Nini,2008-11-26 03:01:55,International,[2],11,4384,3288
79,1685,training,1259,The Sounds of Taraab,12,Eni Wana Damu,2008-11-26 03:01:58,International,[2],0,1264,517
